group	x	xend	y	yend
1	0.5	800000.5	0.239533797252842	0.239533797252842
1	0.5	97660.5	-0.920062425258955	-0.920062425258955
1	97660.5	800000.5	0.402670908404691	0.402670908404691
1	0.5	97660.5	-0.920062425258955	-0.920062425258955
1	97660.5	306355.5	0.0509089254825096	0.0509089254825096
1	306355.5	800000.5	0.550981366069179	0.550981366069179
1	0.5	97660.5	-0.920062425258955	-0.920062425258955
1	97660.5	306355.5	0.0509089254825096	0.0509089254825096
1	306355.5	699665.5	0.73014010492398	0.73014010492398
1	699665.5	800000.5	-0.142080071079658	-0.142080071079658
1	0.5	97660.5	-0.920062425258955	-0.920062425258955
1	97660.5	306355.5	0.0509089254825096	0.0509089254825096
1	306355.5	715719.5	0.689290599520225	0.689290599520225
1	715719.5	718395.5	-4.66722786329131	-4.66722786329131
1	718395.5	800000.5	0.0366877051450003	0.0366877051450003
1	0.5	97660.5	-0.920062425258955	-0.920062425258955
1	97660.5	306355.5	0.0509089254825096	0.0509089254825096
1	306355.5	715719.5	0.689290599520225	0.689290599520225
1	715719.5	718395.5	-4.66722786329131	-4.66722786329131
1	718395.5	726421.5	2.11756178487159	2.11756178487159
1	726421.5	800000.5	-0.18626308911142	-0.18626308911142
1	0.5	97660.5	-0.920062425258955	-0.920062425258955
1	97660.5	306355.5	0.0509089254825096	0.0509089254825096
1	306355.5	405351.5	1.21870827921098	1.21870827921098
1	405351.5	715719.5	0.520424615480933	0.520424615480933
1	715719.5	718395.5	-4.66722786329131	-4.66722786329131
1	718395.5	726421.5	2.11756178487159	2.11756178487159
1	726421.5	800000.5	-0.18626308911142	-0.18626308911142
1	0.5	97660.5	-0.920062425258955	-0.920062425258955
1	97660.5	306355.5	0.0509089254825096	0.0509089254825096
1	306355.5	405351.5	1.21870827921098	1.21870827921098
1	405351.5	472241.5	-0.131150477008427	-0.131150477008427
1	472241.5	715719.5	0.699428761769219	0.699428761769219
1	715719.5	718395.5	-4.66722786329131	-4.66722786329131
1	718395.5	726421.5	2.11756178487159	2.11756178487159
1	726421.5	800000.5	-0.18626308911142	-0.18626308911142
1	0.5	97660.5	-0.920062425258955	-0.920062425258955
1	97660.5	306355.5	0.0509089254825096	0.0509089254825096
1	306355.5	405351.5	1.21870827921098	1.21870827921098
1	405351.5	539131.5	0.157188129634371	0.157188129634371
1	539131.5	555184.5	2.04542460645568	2.04542460645568
1	555184.5	715719.5	0.670621687922261	0.670621687922261
1	715719.5	718395.5	-4.66722786329131	-4.66722786329131
1	718395.5	726421.5	2.11756178487159	2.11756178487159
1	726421.5	800000.5	-0.18626308911142	-0.18626308911142
1	0.5	97660.5	-0.920062425258955	-0.920062425258955
1	97660.5	119064.5	0.973685709669162	0.973685709669162
